text,size
people,426
going,338
know,256
dont,241
would,220
want,216
get,211
one,202
well,202
im,195
said,190
thats,188
think,187
country,183
trump,173
us,172
mr,170
senator,165
need,163
back,163
say,162
go,154
like,152
thank,149
right,136
youre,131
president,129
way,127
government,124
take,123
tell,117
let,115
states,110
tax,110
governor,106
look,105
theyre,104
time,101
first,99
money,97
years,95
question,95
make,93
jobs,92
donald,92
america,91
percent,91
ive,90
washington,89
deal,89
